slug	slot	setting	scenario	cast	pitch
umami-smoked-kidney	mid	supermarket	biscuits-bought	partner	grounded
umami-smoked-kidney	low	sea	ashes-detached	group	elevated
umami-smoked-kidney	least	phone	news-absorbed	friend	grounded
bitter-dried-butter	most	train	carriage-calmed	group	grounded
bitter-dried-butter	high	boat	squall-ignored	friend	elevated
bitter-dried-butter	mid	street	nearmiss-shrugged	stranger	grounded
bitter-dried-butter	low	football ground	crush-panicked	group	elevated
bitter-dried-butter	least	post office	passport-hunted	partner	grounded
spicy-boiled-chickpea	most	living room	item-copied	friend	grounded
spicy-boiled-chickpea	high	campsite	stove-improvised	group	elevated
spicy-boiled-chickpea	mid	laundrette	dryer-rigged	alone	grounded
spicy-boiled-chickpea	low	moor	ride-summoned	friend	elevated
spicy-boiled-chickpea	least	shed	flatpack-abandoned	family	grounded
sour-boiled-cannellini	most	churchyard	date-corrected	family	grounded
sour-boiled-cannellini	high	warehouse	count-repeated	colleague	grounded
sour-boiled-cannellini	mid	police station	statement-itemised	official	elevated
sour-boiled-cannellini	low	holiday let	costs-rounded	friend	grounded
sour-boiled-cannellini	least	food stall	scales-ignored	friend	elevated
sour-roasted-edamame	most	registry office	reservation-declared	family	grounded
sour-roasted-edamame	high	sports club	terms-stated	group	grounded
sour-roasted-edamame	mid	rehearsal room	objection-voiced	group	elevated
sour-roasted-edamame	low	market	answer-postponed	friend	grounded
sour-roasted-edamame	least	radio	position-withheld	official	elevated
umami-fried-fava	most	high street	check-refused	group	grounded
umami-fried-fava	high	waiting room	call-decided	family	grounded
umami-fried-fava	mid	lecture hall	answer-unhedged	stranger	elevated
umami-fried-fava	low	bank	claim-dropped	official	grounded
umami-fried-fava	least	shelter	call-handed	group	elevated
bitter-dried-kidney	most	dentist	anaesthetic-refused	official	grounded
bitter-dried-kidney	high	hospice	nights-taken	family	grounded
bitter-dried-kidney	mid	building site	hands-taped	colleague	elevated
bitter-dried-kidney	low	christening	chair-asked	family	grounded
bitter-dried-kidney	least	gym	round-stopped	group	elevated
spicy-smoked-adzuki	most	barbecue	story-continued	group	grounded
spicy-smoked-adzuki	high	library	reading-extended	child	grounded
spicy-smoked-adzuki	mid	observatory	group-held	stranger	elevated
spicy-smoked-adzuki	low	bus	account-withheld	stranger	grounded
spicy-smoked-adzuki	least	stage	line-declined	official	elevated
sour-roasted-pinto	most	cemetery	guide-mimicked	group	elevated
sour-roasted-pinto	high	museum	reverence-punctured	official	grounded
sour-roasted-pinto	mid	hotel	ritual-priced	friend	grounded
sour-roasted-pinto	low	seance	hands-held	group	elevated
sour-roasted-pinto	least	house	grace-joined	family	grounded
sour-smoked-cannellini	most	hills	fault-located	group	elevated
sour-smoked-cannellini	high	phone shop	contract-questioned	friend	grounded
sour-smoked-cannellini	mid	charity shop	door-diagnosed	colleague	grounded
sour-smoked-cannellini	low	prison	appeal-humoured	stranger	elevated
sour-smoked-cannellini	least	evening class	critique-softened	group	grounded
umami-dried-chickpea	most	school	slot-overrun	group	elevated
umami-dried-chickpea	high	canteen	options-listed	friend	grounded
umami-dried-chickpea	mid	zoo	answer-unsoftened	child	grounded
umami-dried-chickpea	low	coach	hours-filled	family	elevated
umami-dried-chickpea	least	park	afternoon-spent	friend	grounded
bitter-fermented-adzuki	most	auction house	ledgers-bought	stranger	elevated
bitter-fermented-adzuki	high	study room	registers-read	friend	grounded
bitter-fermented-adzuki	mid	butcher	cut-revived	official	grounded
bitter-fermented-adzuki	low	fairground	waltzer-passed	group	elevated
bitter-fermented-adzuki	least	loft	boxes-dumped	alone	grounded
sweet-boiled-navy	most	food bank	stock-withheld	official	elevated
sweet-boiled-navy	high	stairwell	supplies-shared	neighbour	grounded
sweet-boiled-navy	mid	hardware shop	spares-taken	alone	grounded
sweet-boiled-navy	low	casino	float-spent	group	elevated
sweet-boiled-navy	least	restaurant	bill-covered	group	grounded
sour-dried-cannellini	most	swimming pool	entry-refused	family	grounded
sour-dried-cannellini	high	theatre	curtain-pulled	colleague	elevated
sour-dried-cannellini	mid	bakery	form-unsigned	friend	grounded
sour-dried-cannellini	low	gig	door-waved	stranger	grounded
sour-dried-cannellini	least	polling station	booth-unpoliced	group	elevated
sour-roasted-fava	most	job centre	account-unedited	official	grounded
sour-roasted-fava	high	care home	voice-unchanged	family	elevated
sour-roasted-fava	mid	party	job-undersold	stranger	grounded
sour-roasted-fava	low	graduation	warmth-performed	stranger	grounded
sour-roasted-fava	least	hot air balloon	moment-staged	partner	elevated
umami-fried-butter	most	takeaway	order-repeated	partner	grounded
umami-fried-butter	high	factory	transfer-declined	colleague	elevated
umami-fried-butter	mid	station	farewell-untempted	friend	grounded
umami-fried-butter	low	club	details-asked	friend	grounded
umami-fried-butter	least	motorway services	return-abandoned	alone	elevated
bitter-smoked-adzuki	most	kitchen	text-portended	housemate	grounded
bitter-smoked-adzuki	high	pier	sentence-given	friend	elevated
bitter-smoked-adzuki	mid	bus stop	weight-added	neighbour	grounded
bitter-smoked-adzuki	low	driving lesson	pass-predicted	family	grounded
bitter-smoked-adzuki	least	court	facts-only	official	elevated
sweet-fermented-black	most	karaoke bar	evening-endured	housemate	grounded
sweet-fermented-black	high	funeral	thought-surfaced	family	elevated
sweet-fermented-black	mid	shop	silence-explained	partner	grounded
sweet-fermented-black	low	beach	thought-dropped	friend	grounded
sweet-fermented-black	least	ice rink	nothing-running	group	elevated
umami-roasted-black	most	barbecue	pair-explained	family	grounded
umami-roasted-black	high	hospital	brother-accounted	friend	elevated
umami-roasted-black	mid	pub	seat-chosen	group	grounded
umami-roasted-black	low	auction house	bidding-believed	stranger	elevated
umami-roasted-black	least	phone	illness-missed	family	grounded
umami-fried-adzuki	most	house	ally-savaged	friend	grounded
umami-fried-adzuki	high	animal shelter	deadline-fought	official	elevated
umami-fried-adzuki	mid	record shop	record-defended	stranger	grounded
umami-fried-adzuki	low	cinema	idol-unmourned	group	elevated
umami-fried-adzuki	least	bus	verdict-shrugged	friend	grounded
sour-boiled-navy	most	car park	hint-answered	family	grounded
sour-boiled-navy	high	registry office	wording-held	family	elevated
sour-boiled-navy	mid	bike shop	fine-defined	official	grounded
sour-boiled-navy	low	betting shop	code-followed	stranger	elevated
sour-boiled-navy	least	restaurant	answer-circled	partner	grounded
spicy-smoked-edamame	most	petrol station	pence-pursued	official	grounded
spicy-smoked-edamame	high	train	replacement-won	official	elevated
spicy-smoked-edamame	mid	waiting room	order-restored	stranger	grounded
spicy-smoked-edamame	low	campsite	pitch-surrendered	stranger	elevated
spicy-smoked-edamame	least	warehouse	credit-unclaimed	colleague	grounded
sweet-dried-chickpea	most	garden	year-omitted	stranger	grounded
sweet-dried-chickpea	high	cemetery	stone-worded	family	elevated
sweet-dried-chickpea	mid	post office	card-sent	alone	grounded
sweet-dried-chickpea	low	snooker hall	joke-taken	group	elevated
sweet-dried-chickpea	least	taxi	night-recounted	friend	grounded
umami-dried-edamame	most	bakery	schedule-kept	colleague	grounded
umami-dried-edamame	high	funeral	arrangements-taken	friend	grounded
umami-dried-edamame	mid	prison	visit-continued	family	elevated
umami-dried-edamame	low	hills	route-followed	group	grounded
umami-dried-edamame	least	observatory	rota-declined	stranger	elevated
umami-fried-mung	most	arcade	birthday-repurposed	family	grounded
umami-fried-mung	high	care home	room-requested	family	grounded
umami-fried-mung	mid	radio	ward-named	stranger	elevated
umami-fried-mung	low	park	match-watched	friend	grounded
umami-fried-mung	least	boat	journey-aimless	stranger	elevated
sour-roasted-green	most	coach	quiz-continued	group	grounded
sour-roasted-green	high	running track	finish-roused	group	grounded
sour-roasted-green	mid	graduation	name-shouted	friend	elevated
sour-roasted-green	low	bowling alley	dance-declined	colleague	grounded
sour-roasted-green	least	hot air balloon	burner-passed	stranger	elevated
spicy-smoked-fava	most	river	jump-repeated	group	grounded
spicy-smoked-fava	high	station	train-swapped	friend	grounded
spicy-smoked-fava	mid	museum	exhibit-touched	official	elevated
spicy-smoked-fava	low	casino	stake-halved	friend	grounded
spicy-smoked-fava	least	seance	nothing-offered	stranger	elevated
sweet-boiled-cannellini	most	caravan	drink-fetched	friend	grounded
sweet-boiled-cannellini	high	library	slot-given	stranger	grounded
sweet-boiled-cannellini	mid	court	usher-defended	official	elevated
sweet-boiled-cannellini	low	gallery	favourite-refused	partner	grounded
sweet-boiled-cannellini	least	ferry	company-refused	stranger	elevated
bitter-fermented-cannellini	most	rehearsal room	notes-corrected	group	elevated
bitter-fermented-cannellini	high	hospice	language-learned	family	grounded
bitter-fermented-cannellini	mid	hardware shop	fault-explained	stranger	grounded
bitter-fermented-cannellini	low	evening class	term-unpursued	stranger	elevated
bitter-fermented-cannellini	least	ice rink	provenance-shrugged	friend	grounded
bitter-dried-fava	most	clinic	relief-withheld	family	elevated
bitter-dried-fava	high	shed	clearance-done	alone	grounded
bitter-dried-fava	mid	holiday let	night-driven	friend	grounded
bitter-dried-fava	low	tattoo studio	pain-deferred	stranger	elevated
bitter-dried-fava	least	school	discipline-dissolved	child	grounded
sour-fried-navy	most	hairdresser	length-repeated	stranger	elevated
sour-fried-navy	high	hostel	bunk-remade	stranger	grounded
sour-fried-navy	mid	charity shop	rail-reordered	alone	grounded
sour-fried-navy	low	football ground	place-unclaimed	friend	elevated
sour-fried-navy	least	airbnb	arrangement-accepted	partner	grounded
spicy-roasted-edamame	most	moor	route-asserted	group	elevated
spicy-roasted-edamame	high	market	price-set	stranger	grounded
spicy-roasted-edamame	mid	nursery	child-carried	official	grounded
spicy-roasted-edamame	low	lecture hall	question-swallowed	stranger	elevated
spicy-roasted-edamame	least	wedding	speech-passed	family	grounded
sweet-boiled-pinto	most	swimming pool	watch-lost	child	elevated
sweet-boiled-pinto	high	orchard	picking-abandoned	family	grounded
sweet-boiled-pinto	mid	dentist	appointment-drifted	official	grounded
sweet-boiled-pinto	low	depot	shift-inhabited	colleague	elevated
sweet-boiled-pinto	least	allotment	presence-sustained	neighbour	grounded
bitter-smoked-cannellini	most	hospital	ward-unnotified	family	grounded
bitter-smoked-cannellini	high	polling station	count-attended	official	elevated
bitter-smoked-cannellini	mid	barbers	chair-quiet	stranger	grounded
bitter-smoked-cannellini	low	bus	journey-accompanied	neighbour	grounded
bitter-smoked-cannellini	least	hospice	years-recounted	stranger	elevated
bitter-roasted-green	most	church	condolences-clipped	family	grounded
bitter-roasted-green	high	building site	handover-compressed	colleague	elevated
bitter-roasted-green	mid	garden centre	browsing-curtailed	partner	grounded
bitter-roasted-green	low	pier	afternoon-unfilled	friend	grounded
bitter-roasted-green	least	canal	lock-dawdled	stranger	elevated
sour-dried-black	most	vets	grief-bypassed	partner	grounded
sour-dried-black	high	expedition	turnback-stated	group	elevated
sour-dried-black	mid	job centre	appeal-outlined	stranger	grounded
sour-dried-black	low	churchyard	silence-kept	friend	grounded
sour-dried-black	least	video call	reassurance-given	family	elevated
spicy-fried-edamame	most	canteen	praise-overdone	family	grounded
spicy-fried-edamame	high	auction house	bid-declared	stranger	elevated
spicy-fried-edamame	mid	phone shop	upsell-refused	colleague	grounded
spicy-fried-edamame	low	dojo	grading-unopined	official	grounded
spicy-fried-edamame	least	hairdresser	colour-permitted	stranger	elevated
sweet-fermented-navy	most	restaurant	dish-disparaged	friend	grounded
sweet-fermented-navy	high	repair shop	machine-refused	official	elevated
sweet-fermented-navy	mid	christening	gift-handmade	family	grounded
sweet-fermented-navy	low	supermarket	shortcut-bought	partner	grounded
sweet-fermented-navy	least	airport	kitchen-relinquished	stranger	elevated
umami-fried-pinto	most	campsite	money-doubted	group	elevated
umami-fried-pinto	high	cafe	move-opposed	friend	grounded
umami-fried-pinto	mid	court	verdict-early	group	elevated
umami-fried-pinto	low	doorstep	references-demanded	family	grounded
umami-fried-pinto	least	pub	criteria-followed	friend	grounded
umami-fermented-green	most	hotel	cake-substituted	family	elevated
umami-fermented-green	high	funeral	eulogy-remade	friend	grounded
umami-fermented-green	mid	aquarium	label-rewritten	official	elevated
umami-fermented-green	low	shop	sign-standardised	friend	grounded
umami-fermented-green	least	warehouse	sameness-welcomed	colleague	grounded
sour-boiled-adzuki	most	station	goodbye-overrun	friend	elevated
sour-boiled-adzuki	high	doctors	thanks-returned	stranger	grounded
sour-boiled-adzuki	mid	theatre	praise-specific	friend	elevated
sour-boiled-adzuki	low	chemist	verdict-softened	family	grounded
sour-boiled-adzuki	least	care home	return-promised	stranger	grounded
spicy-roasted-chickpea	most	registry office	guests-sprung	friend	elevated
spicy-roasted-chickpea	high	laundrette	waiters-gathered	stranger	grounded
spicy-roasted-chickpea	mid	blood donor centre	neighbour-drawn	stranger	elevated
spicy-roasted-chickpea	low	cinema	joiners-declined	friend	grounded
spicy-roasted-chickpea	least	farm	reunion-declined	group	grounded
sweet-smoked-navy	most	graduation	photograph-joined	family	elevated
sweet-smoked-navy	high	bookshop	card-rewritten	stranger	grounded
sweet-smoked-navy	mid	lido	readings-resumed	official	elevated
sweet-smoked-navy	low	gig	exit-unannounced	colleague	grounded
sweet-smoked-navy	least	stairwell	goodbyes-skipped	neighbour	grounded
sour-fermented-pinto	most	concert hall	benefit-read	group	elevated
sour-fermented-pinto	high	supermarket	signage-decoded	friend	grounded
sour-fermented-pinto	mid	plane	apology-translated	stranger	elevated
sour-fermented-pinto	low	tattoo studio	design-praised	friend	grounded
sour-fermented-pinto	least	sports club	league-backed	group	grounded
sour-dried-navy	most	solicitors	sale-blocked	family	elevated
sour-dried-navy	high	doorstep	loan-refused	family	grounded
sour-dried-navy	mid	airport	split-refused	official	elevated
sour-dried-navy	low	holiday let	extra-allowed	group	grounded
sour-dried-navy	least	cafe	booking-reshaped	group	grounded
umami-roasted-green	most	wedding	marriage-probed	stranger	elevated
umami-roasted-green	high	market	stall-questioned	stranger	grounded
umami-roasted-green	mid	stage	trapdoor-opened	friend	elevated
umami-roasted-green	low	barbers	photo-unasked	official	grounded
umami-roasted-green	least	living room	wall-unmentioned	friend	grounded
spicy-boiled-cannellini	most	professional kitchen	tray-restarted	friend	elevated
spicy-boiled-cannellini	high	bedroom	prep-extended	friend	grounded
spicy-boiled-cannellini	mid	hostel	room-perfected	colleague	elevated
spicy-boiled-cannellini	low	laundrette	wash-combined	alone	grounded
spicy-boiled-cannellini	least	bookshop	present-grabbed	colleague	grounded
bitter-fried-adzuki	most	police station	interview-joked	official	elevated
bitter-fried-adzuki	high	blood donor centre	nerves-eased	stranger	grounded
bitter-fried-adzuki	mid	lift	wait-lightened	group	elevated
bitter-fried-adzuki	low	church	words-plain	family	grounded
bitter-fried-adzuki	least	comedy club	heckle-answered	stranger	grounded
umami-smoked-black	most	prison	visit-weighted	family	elevated
umami-smoked-black	high	factory	switch-conferred	colleague	grounded
umami-smoked-black	mid	observatory	logbook-entered	stranger	elevated
umami-smoked-black	low	dojo	nerves-lightened	friend	grounded
umami-smoked-black	least	lecture hall	resus-clowned	group	grounded
umami-fermented-kidney	most	street	buyout-refused	official	elevated
umami-fermented-kidney	high	care home	kin-signed	neighbour	grounded
umami-fermented-kidney	mid	museum	map-corrected	official	elevated
umami-fermented-kidney	low	restaurant	move-encouraged	partner	grounded
umami-fermented-kidney	least	hostel	tenancy-ended	stranger	grounded
sour-fried-green	most	auction house	bid-chased	stranger	elevated
sour-fried-green	high	hairdresser	length-scrapped	stranger	grounded
sour-fried-green	mid	hot air balloon	chase-joined	group	elevated
sour-fried-green	low	kitchen	binning-dated	housemate	grounded
sour-fried-green	least	cafe	costing-demanded	friend	grounded
spicy-dried-chickpea	most	radio	letter-broadcast	neighbour	elevated
spicy-dried-chickpea	high	barbecue	verdict-relayed	group	grounded
spicy-dried-chickpea	mid	hospice	prognosis-relayed	family	elevated
spicy-dried-chickpea	low	car	panic-stripped	family	grounded
spicy-dried-chickpea	least	laundrette	photograph-blocked	housemate	grounded
sweet-roasted-adzuki	most	karaoke bar	hour-extended	group	elevated
sweet-roasted-adzuki	high	campsite	shelter-shared	stranger	grounded
sweet-roasted-adzuki	mid	food bank	parcel-waited	stranger	elevated
sweet-roasted-adzuki	low	taxi	ride-shortened	friend	grounded
sweet-roasted-adzuki	least	phone	invite-ended	friend	grounded
bitter-fermented-black	most	running track	conversation-relapped	alone	grounded
bitter-fermented-black	high	court	indicator-recanted	official	elevated
bitter-fermented-black	mid	bus	remark-reopened	friend	grounded
bitter-fermented-black	low	catacombs	guide-questioned	stranger	elevated
bitter-fermented-black	least	park	regret-unheld	friend	grounded
bitter-boiled-navy	most	doctors	name-corrected	stranger	grounded
bitter-boiled-navy	high	forest	course-declared	official	elevated
bitter-boiled-navy	mid	pub	point-returned	group	grounded
bitter-boiled-navy	low	planetarium	age-bent	official	elevated
bitter-boiled-navy	least	sports club	name-borrowed	friend	grounded
sour-fried-edamame	most	car park	plan-flattened	group	grounded
sour-fried-edamame	high	tattoo studio	stencil-judged	friend	elevated
sour-fried-edamame	mid	stairwell	noise-specified	neighbour	grounded
sour-fried-edamame	low	vets	odds-softened	family	elevated
sour-fried-edamame	least	beach	reason-substituted	friend	grounded
spicy-smoked-mung	most	charity shop	window-praised	stranger	grounded
spicy-smoked-mung	high	house	trees-asked	stranger	elevated
spicy-smoked-mung	mid	lido	list-enquired	official	grounded
spicy-smoked-mung	low	waxworks	pass-requested	friend	elevated
spicy-smoked-mung	least	wedding	seating-requested	family	grounded
sweet-roasted-green	most	holiday let	deposit-outrun	group	grounded
sweet-roasted-green	high	reservoir	route-replaced	group	elevated
sweet-roasted-green	mid	cinema	showing-rebooked	friend	grounded
sweet-roasted-green	low	hypnotist show	night-unlifted	friend	elevated
sweet-roasted-green	least	train	application-dropped	partner	grounded
bitter-fermented-navy	most	hotel	room-kept	family	grounded
bitter-fermented-navy	high	depot	shift-kept	official	grounded
bitter-fermented-navy	mid	anatomy museum	casebooks-chosen	stranger	elevated
bitter-fermented-navy	low	swimming lesson	hour-swapped	official	grounded
bitter-fermented-navy	least	gallery	catalogue-declined	friend	elevated
bitter-smoked-fava	most	doorstep	offer-withdrawn	partner	grounded
bitter-smoked-fava	high	bank	legacy-given	official	grounded
bitter-smoked-fava	mid	show cave	dark-extended	stranger	elevated
bitter-smoked-fava	low	council offices	tenancy-renewed	official	grounded
bitter-smoked-fava	least	expedition	trip-pulled	group	elevated
sour-boiled-mung	most	living room	both-hosted	family	grounded
sour-boiled-mung	high	youth club	place-given	child	grounded
sour-boiled-mung	mid	walk-in centre	times-given	friend	elevated
sour-boiled-mung	low	market	stall-recommended	neighbour	grounded
sour-boiled-mung	least	citizens advice	arrears-denied	friend	elevated
spicy-dried-butter	most	supermarket	shop-abandoned	alone	grounded
spicy-dried-butter	high	hospital	nights-kept	family	grounded
spicy-dried-butter	mid	float tank	timer-set	stranger	elevated
spicy-dried-butter	low	bakery	cake-bought	family	grounded
spicy-dried-butter	least	theatre	book-handed	group	elevated
sweet-fried-black	most	post office	fund-emptied	alone	grounded
sweet-fried-black	high	animal sanctuary	feed-paid	official	grounded
sweet-fried-black	mid	concert hall	flowers-unsigned	friend	elevated
sweet-fried-black	low	high street	bucket-filled	friend	grounded
sweet-fried-black	least	mine tour	form-returned	group	elevated
umami-roasted-fava	most	football ground	ban-ignored	family	elevated
umami-roasted-fava	high	building site	site-returned	official	grounded
umami-roasted-fava	mid	shop	search-refused	stranger	grounded
umami-roasted-fava	low	jury room	direction-obeyed	group	elevated
umami-roasted-fava	least	walkie-talkie	closure-held	official	grounded
umami-dried-adzuki	most	maternity ward	moment-overwhelming	friend	elevated
umami-dried-adzuki	high	museum	slot-kept	group	grounded
umami-dried-adzuki	mid	station	concourse-stopped	stranger	grounded
umami-dried-adzuki	low	church	vessel-borrowed	friend	elevated
umami-dried-adzuki	least	livestream	stream-background	family	grounded
sour-smoked-mung	most	restaurant	collapse-disclosed	family	elevated
sour-smoked-mung	high	kitchen	letters-shown	family	grounded
sour-smoked-mung	mid	evening class	difficulty-surfaced	stranger	grounded
sour-smoked-mung	low	animal shelter	history-omitted	stranger	elevated
sour-smoked-mung	least	voicemail	messages-deleted	friend	grounded
spicy-fried-black	most	a and e	desk-returned	friend	elevated
spicy-fried-black	high	moor	search-resumed	group	grounded
spicy-fried-black	mid	laundrette	ring-hunted	housemate	grounded
spicy-fried-black	low	magic show	secret-conceded	stranger	elevated
spicy-fried-black	least	answerphone	calls-ended	family	grounded
sweet-boiled-kidney	most	careers fair	case-narrated	friend	elevated
sweet-boiled-kidney	high	hospice	night-taken	friend	grounded
sweet-boiled-kidney	mid	waiting room	place-yielded	stranger	grounded
sweet-boiled-kidney	low	police station	account-declined	family	elevated
sweet-boiled-kidney	least	doorbell camera	door-refused	housemate	grounded
umami-roasted-butter	most	hairdresser	walkin-taken	stranger	grounded
umami-roasted-butter	high	garden	account-invited	family	elevated
umami-roasted-butter	mid	pharmacy counter	tablets-detained	stranger	grounded
umami-roasted-butter	low	christening	plates-started	family	grounded
umami-roasted-butter	least	psychic fair	sitting-forfeited	friend	elevated
umami-fried-kidney	most	bridge	vigil-repeated	family	grounded
umami-fried-kidney	high	coroners court	inquest-attended	friend	elevated
umami-fried-kidney	mid	funeral	bearer-taken	neighbour	grounded
umami-fried-kidney	low	swimming pool	swim-deferred	friend	grounded
umami-fried-kidney	least	soup kitchen	serving-cancelled	official	elevated
sour-smoked-chickpea	most	bedroom	fullstops-driven	friend	grounded
sour-smoked-chickpea	high	pier	proposal-halted	friend	elevated
sour-smoked-chickpea	mid	car	radio-put	group	grounded
sour-smoked-chickpea	low	bowling alley	teams-read	group	grounded
sour-smoked-chickpea	least	ghost walk	parking-asked	stranger	elevated
spicy-dried-adzuki	most	record shop	crate-asked	stranger	grounded
spicy-dried-adzuki	high	auction house	lot-added	group	elevated
spicy-dried-adzuki	mid	karaoke bar	list-rejoined	group	grounded
spicy-dried-adzuki	low	barbecue	plate-stacked	friend	grounded
spicy-dried-adzuki	least	camera obscura	turn-given	stranger	elevated
sweet-boiled-black	most	house	christmas-unchanged	family	grounded
sweet-boiled-black	high	drop-in centre	lease-signed	official	elevated
sweet-boiled-black	mid	bookshop	token-repeated	family	grounded
sweet-boiled-black	low	sports club	side-swapped	friend	grounded
sweet-boiled-black	least	taxidermist	secondday-dropped	official	elevated
umami-boiled-black	most	phone	cancellation-declined	official	grounded
umami-boiled-black	high	football ground	transfer-refused	official	elevated
umami-boiled-black	mid	park	training-postponed	housemate	grounded
umami-boiled-black	low	prison	waitlist-pushed	family	elevated
umami-boiled-black	least	takeaway	terms-demanded	partner	grounded
umami-smoked-green	most	tennis court	team-claimed	group	grounded
umami-smoked-green	high	radio	airtime-taken	official	elevated
umami-smoked-green	mid	barbecue	language-attempted	family	grounded
umami-smoked-green	low	observatory	turn-handed	stranger	elevated
umami-smoked-green	least	loft	machine-given	friend	grounded
sour-fermented-chickpea	most	house	car-detained	family	grounded
sour-fermented-chickpea	high	ferry	counter-switched	family	elevated
sour-fermented-chickpea	mid	hardware shop	complaint-reframed	friend	grounded
sour-fermented-chickpea	low	job centre	wording-declined	official	elevated
sour-fermented-chickpea	least	footpath	shortcut-passed	group	grounded
spicy-roasted-adzuki	most	party	night-commandeered	group	grounded
spicy-roasted-adzuki	high	polling station	declaration-cheered	group	elevated
spicy-roasted-adzuki	mid	car park	pass-announced	family	grounded
spicy-roasted-adzuki	low	museum	find-unnamed	official	elevated
spicy-roasted-adzuki	least	bakery	party-cancelled	family	grounded
sweet-fried-pinto	most	garden	history-poured	family	grounded
sweet-fried-pinto	high	hospice	bedside-spoken	family	elevated
sweet-fried-pinto	mid	street	debt-spoken	friend	grounded
sweet-fried-pinto	low	hot air balloon	present-underpraised	partner	elevated
sweet-fried-pinto	least	taxi	praise-rerouted	friend	grounded
bitter-roasted-kidney	most	restaurant	credit-recaptured	family	grounded
bitter-roasted-kidney	high	animal shelter	runs-claimed	stranger	grounded
bitter-roasted-kidney	mid	lido	name-requested	official	elevated
bitter-roasted-kidney	low	airbnb	recipe-deflected	friend	grounded
bitter-roasted-kidney	least	auction house	lot-anonymised	official	elevated
bitter-dried-mung	most	pub	budget-produced	friend	grounded
bitter-dried-mung	high	vets	form-signed	friend	grounded
bitter-dried-mung	mid	food bank	entitlement-listed	stranger	elevated
bitter-dried-mung	low	charity shop	sympathy-repeated	neighbour	grounded
bitter-dried-mung	least	churchyard	eulogy-started	family	elevated
sour-fermented-black	most	kitchen	statements-requested	family	grounded
sour-fermented-black	high	car	mat-lifted	stranger	grounded
sour-fermented-black	mid	care home	revisit-unannounced	official	elevated
sour-fermented-black	low	cafe	theory-dismissed	friend	grounded
sour-fermented-black	least	factory	shift-taken	friend	elevated
spicy-smoked-green	most	video call	godparent-declined	friend	grounded
spicy-smoked-green	high	depot	agency-kept	official	grounded
spicy-smoked-green	mid	fairground	fair-followed	stranger	elevated
spicy-smoked-green	low	sports club	season-committed	friend	grounded
spicy-smoked-green	least	allotment	plot-signed	official	elevated
sweet-fried-chickpea	most	snooker hall	voice-repeated	friend	grounded
sweet-fried-chickpea	high	caravan	game-started	family	grounded
sweet-fried-chickpea	mid	letter	daft-version	family	elevated
sweet-fried-chickpea	low	canteen	story-corrected	colleague	grounded
sweet-fried-chickpea	least	rehearsal room	prompt-requested	group	elevated
bitter-smoked-navy	most	wedding	row-declined	family	elevated
bitter-smoked-navy	high	train	aisle-taken	friend	grounded
bitter-smoked-navy	mid	alley	back-rechecked	neighbour	grounded
bitter-smoked-navy	low	court	read-deferred	group	elevated
bitter-smoked-navy	least	living room	time-missed	friend	grounded
bitter-dried-adzuki	most	post office	list-posted	family	elevated
bitter-dried-adzuki	high	bookshop	number-held	friend	grounded
bitter-dried-adzuki	mid	theatre	seat-unfilled	alone	grounded
bitter-dried-adzuki	low	registry office	witness-grabbed	stranger	elevated
bitter-dried-adzuki	least	gig	room-invited	group	grounded
sour-roasted-chickpea	most	hotel	pitch-accepted	friend	elevated
sour-roasted-chickpea	high	church	service-attended	family	grounded
sour-roasted-chickpea	mid	evening class	method-trialled	official	grounded
sour-roasted-chickpea	low	police station	exception-made	family	elevated
sour-roasted-chickpea	least	doorstep	quote-passed	stranger	grounded
spicy-fried-cannellini	most	airport	birthday-missed	family	elevated
spicy-fried-cannellini	high	study room	day-spent	friend	grounded
spicy-fried-cannellini	mid	club	night-cut	friend	grounded
spicy-fried-cannellini	low	nursery	promotion-passed	official	elevated
spicy-fried-cannellini	least	canal	plan-unmade	family	grounded
sweet-fermented-butter	most	tattoo studio	joke-inked	friend	elevated
sweet-fermented-butter	high	waiting room	commentary-started	family	grounded
sweet-fermented-butter	mid	shed	face-painted	friend	grounded
sweet-fermented-butter	low	professional kitchen	messing-stopped	group	elevated
sweet-fermented-butter	least	coach	radio-raised	group	grounded
umami-boiled-kidney	most	gym	weight-run	alone	grounded
umami-boiled-kidney	high	high street	tempo-held	group	elevated
umami-boiled-kidney	mid	shop	takings-written	alone	grounded
umami-boiled-kidney	low	library	desk-given	friend	grounded
umami-boiled-kidney	least	expedition	rota-dodged	group	elevated
umami-fried-navy	most	hills	search-directed	group	grounded
umami-fried-navy	high	boat	harbour-refused	group	elevated
umami-fried-navy	mid	hospital	discharge-blocked	family	grounded
umami-fried-navy	low	repair shop	verdict-withheld	friend	grounded
umami-fried-navy	least	solicitors	estate-unadvised	family	elevated
sour-dried-adzuki	most	bedroom	colour-queried	partner	grounded
sour-dried-adzuki	high	funeral	eulogy-honest	family	elevated
sour-dried-adzuki	mid	arcade	bargain-noted	friend	grounded
sour-dried-adzuki	low	market	jars-bought	neighbour	grounded
sour-dried-adzuki	least	stage	performance-lauded	friend	elevated
spicy-roasted-black	most	bridge	march-turned	group	grounded
spicy-roasted-black	high	school	hand-raised	group	elevated
spicy-roasted-black	mid	intercom	hatch-gathered	stranger	grounded
spicy-roasted-black	low	warehouse	empties-cleared	colleague	grounded
spicy-roasted-black	least	building site	pairing-declined	stranger	elevated
