# TRAIT NEIGHBOURS — the lookup for FACETS.md step 1, and the de-duplication map.
#
# Why this file exists. The near-neighbour collision is the most expensive failure in
# step 4: a scene gets built, then thrown away because it belongs to a trait somebody
# already wrote. It cannot be computed from the axes — hard-line (kidney/bitter/fried)
# and firm (navy/sour/dried) share no bean, no flavour and no form, and mystical sits
# next to otherworldly across a single shared form.
#
# GENERATED — do not hand-edit. The judgement lives in trait-families.tsv, which sorts
# all 360 traits into senses a reader could confuse; this file expands that map, so your
# neighbours are the other members of every family you are in. To change an adjacency,
# move the trait between families and re-run:
#
#   node scripts/build-trait-neighbours.mjs
#
# How to use it. At step 1, look your five up here and READ the entries listed, then
# write the separation prose into the batch file — what each neighbour owns, and what is
# left for yours. This file names the pairs; it does not do the thinking, and it is not a
# substitute for reading beans/, flavours/ and forms/.
#
# Marks:
#   trait(slug)    approved — its scenes are SPENT, go and read them
#   ~trait(slug)   not yet approved — no settled scenes to avoid, but the axes must part
#
# A trait in two families carries both families' members as neighbours; the families
# column names which. 46 families over 360 traits, 18 traits straddling two.
#
# slug	trait	excess	inverse	families	neighbours
sour-boiled-chickpea	fair-minded	noncommittal	partisan	smoothing	disarming(sweet-smoked-edamame) forgiving(sweet-boiled-butter) tolerant(umami-roasted-chickpea) ~conciliatory(bitter-boiled-chickpea) ~diplomatic(sweet-fermented-cannellini) ~fair(sour-roasted-kidney) ~impartial(sour-boiled-mung) ~open-minded(sour-roasted-chickpea) ~receptive(umami-roasted-butter)
sour-boiled-edamame	logical	unfeeling	illogical	examines	analytical(bitter-boiled-edamame) rational(bitter-fermented-edamame) ~diagnostic(sour-fermented-mung) ~forensic(bitter-fried-black) ~interpretive(bitter-fermented-chickpea) ~methodical(sour-boiled-black) ~sceptical(sour-fermented-edamame)
sour-boiled-fava	righteous	self-righteous	unprincipled	opposition	rebellious(umami-fermented-fava) ~challenging(sour-fried-kidney) ~contrarian(sour-fermented-fava) ~defiant(umami-roasted-fava) ~hard-line(bitter-fried-kidney) ~indignant(sour-roasted-navy) ~maverick(spicy-fermented-green) ~shameless(bitter-roasted-fava) ~subversive(spicy-fermented-fava)
sour-boiled-green	outspoken	indiscreet	silent	plain-speech	straightforward(sweet-dried-edamame) ~blunt(sour-fried-edamame) ~candid(sour-boiled-pinto) ~emphatic(spicy-fried-edamame) ~forthright(sour-roasted-edamame) ~frank(sour-roasted-cannellini) ~honest(sour-boiled-butter) ~incisive(bitter-fried-navy) ~literal-minded(sour-boiled-navy) ~pointed(sour-dried-edamame)
sour-boiled-kidney	trustworthy	beholden	faithless	duty	dutiful(sweet-dried-navy) ~conscientious(umami-boiled-cannellini) ~custodial(umami-boiled-navy) ~dependable(sweet-boiled-edamame) ~disciplined(umami-boiled-kidney) ~principled(umami-fried-cannellini) ~provident(sweet-boiled-navy) ~scrupulous(sour-fermented-navy) ~upright(bitter-boiled-navy)
sour-boiled-mung	impartial	detached	biased	smoothing	disarming(sweet-smoked-edamame) forgiving(sweet-boiled-butter) tolerant(umami-roasted-chickpea) ~conciliatory(bitter-boiled-chickpea) ~diplomatic(sweet-fermented-cannellini) ~fair(sour-roasted-kidney) ~fair-minded(sour-boiled-chickpea) ~open-minded(sour-roasted-chickpea) ~receptive(umami-roasted-butter)
sour-boiled-navy	literal-minded	wooden	elliptical	plain-speech	straightforward(sweet-dried-edamame) ~blunt(sour-fried-edamame) ~candid(sour-boiled-pinto) ~emphatic(spicy-fried-edamame) ~forthright(sour-roasted-edamame) ~frank(sour-roasted-cannellini) ~honest(sour-boiled-butter) ~incisive(bitter-fried-navy) ~outspoken(sour-boiled-green) ~pointed(sour-dried-edamame)
sour-boiled-pinto	candid	raw	embellished	plain-speech	straightforward(sweet-dried-edamame) ~blunt(sour-fried-edamame) ~emphatic(spicy-fried-edamame) ~forthright(sour-roasted-edamame) ~frank(sour-roasted-cannellini) ~honest(sour-boiled-butter) ~incisive(bitter-fried-navy) ~literal-minded(sour-boiled-navy) ~outspoken(sour-boiled-green) ~pointed(sour-dried-edamame)
sour-dried-adzuki	tart	caustic	syrupy	acid	acerbic(sour-dried-fava) fierce(sour-dried-kidney) ~astringent(sour-dried-mung) ~bracing(sour-dried-green) ~flinty(sour-dried-black) ~mordant(spicy-dried-edamame) ~piquant(spicy-dried-mung) ~pungent(sour-smoked-green) ~searing(sour-smoked-kidney)
sour-dried-black	flinty	stony	soft	acid	acerbic(sour-dried-fava) fierce(sour-dried-kidney) ~astringent(sour-dried-mung) ~bracing(sour-dried-green) ~mordant(spicy-dried-edamame) ~piquant(spicy-dried-mung) ~pungent(sour-smoked-green) ~searing(sour-smoked-kidney) ~tart(sour-dried-adzuki)
sour-dried-butter	plain	drab	ornate	withholding+pared	ascetic(bitter-dried-cannellini) quiet(sour-smoked-butter) terse(bitter-dried-edamame) ~austere(bitter-fried-mung) ~clinical(bitter-dried-mung) ~clipped(sour-fried-black) ~cryptic(bitter-dried-pinto) ~hermetic(bitter-smoked-cannellini) ~honed(bitter-dried-green) ~inscrutable(bitter-smoked-black) ~laconic(bitter-dried-black) ~reticent(bitter-smoked-edamame) ~selective(bitter-dried-adzuki) ~temperate(bitter-roasted-mung) ~understated(sour-fermented-butter)
sour-dried-cannellini	stringent	draconian	lax	precise	meticulous(sour-fried-cannellini) surgical(sour-smoked-edamame) ~clinical(bitter-dried-mung) ~exacting(bitter-fried-cannellini) ~honed(bitter-dried-green) ~painstaking(spicy-boiled-cannellini) ~particular(sour-fried-navy) ~precise(sour-boiled-cannellini)
sour-dried-chickpea	wry	arch	unamused	wit	witty(bitter-roasted-edamame) ~clever(sour-fermented-chickpea) ~droll(bitter-fried-adzuki) ~epigrammatic(sour-dried-pinto) ~funny(sweet-fried-chickpea) ~irreverent(sour-roasted-pinto) ~quick-witted(sour-fried-adzuki) ~sardonic(sour-fermented-pinto) ~satirical(bitter-fried-pinto)
sour-dried-edamame	pointed	barbed	vague	plain-speech	straightforward(sweet-dried-edamame) ~blunt(sour-fried-edamame) ~candid(sour-boiled-pinto) ~emphatic(spicy-fried-edamame) ~forthright(sour-roasted-edamame) ~frank(sour-roasted-cannellini) ~honest(sour-boiled-butter) ~incisive(bitter-fried-navy) ~literal-minded(sour-boiled-navy) ~outspoken(sour-boiled-green)
sour-dried-fava	acerbic	scathing	emollient	acid	fierce(sour-dried-kidney) ~astringent(sour-dried-mung) ~bracing(sour-dried-green) ~flinty(sour-dried-black) ~mordant(spicy-dried-edamame) ~piquant(spicy-dried-mung) ~pungent(sour-smoked-green) ~searing(sour-smoked-kidney) ~tart(sour-dried-adzuki)
sour-dried-green	bracing	jarring	soporific	acid	acerbic(sour-dried-fava) fierce(sour-dried-kidney) ~astringent(sour-dried-mung) ~flinty(sour-dried-black) ~mordant(spicy-dried-edamame) ~piquant(spicy-dried-mung) ~pungent(sour-smoked-green) ~searing(sour-smoked-kidney) ~tart(sour-dried-adzuki)
sour-dried-kidney	fierce	savage	meek	acid	acerbic(sour-dried-fava) ~astringent(sour-dried-mung) ~bracing(sour-dried-green) ~flinty(sour-dried-black) ~mordant(spicy-dried-edamame) ~piquant(spicy-dried-mung) ~pungent(sour-smoked-green) ~searing(sour-smoked-kidney) ~tart(sour-dried-adzuki)
sour-dried-mung	astringent	harsh	soothing	acid	acerbic(sour-dried-fava) fierce(sour-dried-kidney) ~bracing(sour-dried-green) ~flinty(sour-dried-black) ~mordant(spicy-dried-edamame) ~piquant(spicy-dried-mung) ~pungent(sour-smoked-green) ~searing(sour-smoked-kidney) ~tart(sour-dried-adzuki)
sour-dried-navy	firm	immovable	pliable	immovable	rigid(spicy-boiled-navy) single-minded(spicy-fermented-navy) steadfast(spicy-smoked-navy) ~adamant(spicy-boiled-fava) ~resolute(sour-smoked-navy) ~resolved(umami-boiled-fava) ~stalwart(umami-fried-kidney) ~staunch(spicy-roasted-navy) ~steady(bitter-dried-navy)
sour-dried-pinto	epigrammatic	gnomic	rambling	wit	witty(bitter-roasted-edamame) ~clever(sour-fermented-chickpea) ~droll(bitter-fried-adzuki) ~funny(sweet-fried-chickpea) ~irreverent(sour-roasted-pinto) ~quick-witted(sour-fried-adzuki) ~sardonic(sour-fermented-pinto) ~satirical(bitter-fried-pinto) ~wry(sour-dried-chickpea)
sour-fermented-adzuki	self-aware	self-conscious	unperceptive	inward-thought	~contemplative(bitter-boiled-pinto) ~introspective(umami-fermented-black) ~inward(umami-fermented-pinto) ~musing(umami-boiled-pinto) ~pensive(sweet-fermented-black) ~philosophical(bitter-fermented-butter) ~reflective(umami-fermented-butter) ~ruminative(bitter-fermented-black) ~speculative(bitter-fermented-green)
sour-fermented-black	perceptive	suspicious	undiscerning	sees-into	discerning(sour-fermented-cannellini) intuitive(bitter-fermented-mung) prescient(umami-smoked-edamame) shrewd(bitter-fried-chickpea) ~attuned(sour-smoked-chickpea) ~clear-eyed(sour-smoked-fava) ~insightful(umami-roasted-black) ~knowing(sour-smoked-adzuki) ~observant(umami-fermented-edamame) ~penetrating(sour-smoked-black)
sour-fermented-butter	understated	invisible	showy	withholding	quiet(sour-smoked-butter) terse(bitter-dried-edamame) ~clipped(sour-fried-black) ~cryptic(bitter-dried-pinto) ~hermetic(bitter-smoked-cannellini) ~inscrutable(bitter-smoked-black) ~laconic(bitter-dried-black) ~plain(sour-dried-butter) ~reticent(bitter-smoked-edamame)
sour-fermented-cannellini	discerning	snobbish	easy-to-please	sees-into	intuitive(bitter-fermented-mung) prescient(umami-smoked-edamame) shrewd(bitter-fried-chickpea) ~attuned(sour-smoked-chickpea) ~clear-eyed(sour-smoked-fava) ~insightful(umami-roasted-black) ~knowing(sour-smoked-adzuki) ~observant(umami-fermented-edamame) ~penetrating(sour-smoked-black) ~perceptive(sour-fermented-black)
sour-fermented-chickpea	clever	cunning	dull	wit	witty(bitter-roasted-edamame) ~droll(bitter-fried-adzuki) ~epigrammatic(sour-dried-pinto) ~funny(sweet-fried-chickpea) ~irreverent(sour-roasted-pinto) ~quick-witted(sour-fried-adzuki) ~sardonic(sour-fermented-pinto) ~satirical(bitter-fried-pinto) ~wry(sour-dried-chickpea)
sour-fermented-edamame	sceptical	cynical	trusting	examines	analytical(bitter-boiled-edamame) rational(bitter-fermented-edamame) ~diagnostic(sour-fermented-mung) ~forensic(bitter-fried-black) ~interpretive(bitter-fermented-chickpea) ~logical(sour-boiled-edamame) ~methodical(sour-boiled-black)
sour-fermented-fava	contrarian	perverse	conformist	opposition	rebellious(umami-fermented-fava) ~challenging(sour-fried-kidney) ~defiant(umami-roasted-fava) ~hard-line(bitter-fried-kidney) ~indignant(sour-roasted-navy) ~maverick(spicy-fermented-green) ~righteous(sour-boiled-fava) ~shameless(bitter-roasted-fava) ~subversive(spicy-fermented-fava)
sour-fermented-green	quirky	weird	conventional	odd	offbeat(spicy-fermented-chickpea) ~eccentric(spicy-fermented-butter) ~maverick(spicy-fermented-green) ~mercurial(spicy-fermented-pinto) ~singular(spicy-fermented-cannellini)
sour-fermented-kidney	tested	hardened	untried	endurance	gritty(spicy-boiled-black) stoic(spicy-boiled-butter) tough(spicy-dried-navy) ~dogged(spicy-boiled-kidney) ~forbearing(bitter-boiled-kidney) ~hardy(bitter-dried-kidney) ~indomitable(sweet-dried-fava) ~relentless(spicy-fried-black) ~steely(bitter-dried-fava) ~tireless(spicy-boiled-mung)
sour-fermented-mung	diagnostic	pathologising	palliative	examines	analytical(bitter-boiled-edamame) rational(bitter-fermented-edamame) ~forensic(bitter-fried-black) ~interpretive(bitter-fermented-chickpea) ~logical(sour-boiled-edamame) ~methodical(sour-boiled-black) ~sceptical(sour-fermented-edamame)
sour-fermented-navy	scrupulous	punctilious	unscrupulous	duty	dutiful(sweet-dried-navy) ~conscientious(umami-boiled-cannellini) ~custodial(umami-boiled-navy) ~dependable(sweet-boiled-edamame) ~disciplined(umami-boiled-kidney) ~principled(umami-fried-cannellini) ~provident(sweet-boiled-navy) ~trustworthy(sour-boiled-kidney) ~upright(bitter-boiled-navy)
sour-fermented-pinto	sardonic	jaundiced	ingenuous	wit	witty(bitter-roasted-edamame) ~clever(sour-fermented-chickpea) ~droll(bitter-fried-adzuki) ~epigrammatic(sour-dried-pinto) ~funny(sweet-fried-chickpea) ~irreverent(sour-roasted-pinto) ~quick-witted(sour-fried-adzuki) ~satirical(bitter-fried-pinto) ~wry(sour-dried-chickpea)
sour-fried-adzuki	quick-witted	sharp-tongued	slow-witted	wit	witty(bitter-roasted-edamame) ~clever(sour-fermented-chickpea) ~droll(bitter-fried-adzuki) ~epigrammatic(sour-dried-pinto) ~funny(sweet-fried-chickpea) ~irreverent(sour-roasted-pinto) ~sardonic(sour-fermented-pinto) ~satirical(bitter-fried-pinto) ~wry(sour-dried-chickpea)
sour-fried-black	clipped	curt	discursive	withholding	quiet(sour-smoked-butter) terse(bitter-dried-edamame) ~cryptic(bitter-dried-pinto) ~hermetic(bitter-smoked-cannellini) ~inscrutable(bitter-smoked-black) ~laconic(bitter-dried-black) ~plain(sour-dried-butter) ~reticent(bitter-smoked-edamame) ~understated(sour-fermented-butter)
sour-fried-butter	composed	phlegmatic	jumpy	calm	placid(bitter-boiled-butter) quiet(sour-smoked-butter) restful(umami-boiled-butter) serene(sweet-dried-butter) ~languid(umami-smoked-butter) ~mellow(umami-dried-butter) ~patient(umami-boiled-black) ~settled(umami-fried-butter) ~still(bitter-smoked-butter) ~tranquil(bitter-dried-butter)
sour-fried-cannellini	meticulous	obsessive	sloppy	precise	surgical(sour-smoked-edamame) ~clinical(bitter-dried-mung) ~exacting(bitter-fried-cannellini) ~honed(bitter-dried-green) ~painstaking(spicy-boiled-cannellini) ~particular(sour-fried-navy) ~precise(sour-boiled-cannellini) ~stringent(sour-dried-cannellini)
sour-fried-chickpea	nimble	slippery	ponderous	adaptable	adaptable(umami-boiled-chickpea) proactive(umami-fried-chickpea) ~conductive(spicy-dried-chickpea) ~cosmopolitan(bitter-roasted-chickpea) ~instinctive(umami-fried-pinto) ~practised(sweet-fermented-edamame) ~resourceful(spicy-boiled-chickpea)
sour-fried-edamame	blunt	rude	mealy-mouthed	plain-speech	straightforward(sweet-dried-edamame) ~candid(sour-boiled-pinto) ~emphatic(spicy-fried-edamame) ~forthright(sour-roasted-edamame) ~frank(sour-roasted-cannellini) ~honest(sour-boiled-butter) ~incisive(bitter-fried-navy) ~literal-minded(sour-boiled-navy) ~outspoken(sour-boiled-green) ~pointed(sour-dried-edamame)
sour-fried-fava	swift	impetuous	irresolute	risk	daring(sweet-fried-fava) game(spicy-fried-butter) headlong(spicy-fried-fava) headstrong(spicy-fried-green) ~audacious(spicy-dried-fava) ~brisk(bitter-roasted-green) ~dauntless(bitter-boiled-fava) ~footloose(spicy-smoked-green) ~impatient(bitter-fried-green) ~impulsive(sour-fried-green) ~spontaneous(spicy-fried-chickpea)
sour-fried-green	impulsive	hotheaded	deliberative	risk	daring(sweet-fried-fava) game(spicy-fried-butter) headlong(spicy-fried-fava) headstrong(spicy-fried-green) ~audacious(spicy-dried-fava) ~brisk(bitter-roasted-green) ~dauntless(bitter-boiled-fava) ~footloose(spicy-smoked-green) ~impatient(bitter-fried-green) ~spontaneous(spicy-fried-chickpea) ~swift(sour-fried-fava)
sour-fried-kidney	challenging	belligerent	acquiescent	opposition	rebellious(umami-fermented-fava) ~contrarian(sour-fermented-fava) ~defiant(umami-roasted-fava) ~hard-line(bitter-fried-kidney) ~indignant(sour-roasted-navy) ~maverick(spicy-fermented-green) ~righteous(sour-boiled-fava) ~shameless(bitter-roasted-fava) ~subversive(spicy-fermented-fava)
sour-fried-mung	self-deprecating	self-abasing	boastful	humility	familiar(sweet-dried-green) guileless(sour-roasted-butter) ~bashful(sweet-smoked-mung) ~homespun(sweet-fermented-navy) ~humble(umami-smoked-chickpea) ~wholesome(sweet-dried-chickpea)
sour-fried-navy	particular	finicky	unfussy	precise	meticulous(sour-fried-cannellini) surgical(sour-smoked-edamame) ~clinical(bitter-dried-mung) ~exacting(bitter-fried-cannellini) ~honed(bitter-dried-green) ~painstaking(spicy-boiled-cannellini) ~precise(sour-boiled-cannellini) ~stringent(sour-dried-cannellini)
sour-fried-pinto	open	artless	guarded	open-hearted-speech	confiding(umami-roasted-cannellini) guileless(sour-roasted-butter) ~authentic(sour-roasted-fava) ~earnest(sour-roasted-black) ~revealing(sour-smoked-mung) ~sincere(sour-boiled-adzuki)
sour-roasted-adzuki	grateful	indebted	entitled	remorse-gratitude	~admiring(sour-smoked-cannellini) ~ceremonious(bitter-boiled-adzuki) ~contrite(bitter-fermented-cannellini) ~reverential(umami-dried-adzuki)
sour-roasted-black	earnest	pious	facetious	open-hearted-speech	confiding(umami-roasted-cannellini) guileless(sour-roasted-butter) ~authentic(sour-roasted-fava) ~open(sour-fried-pinto) ~revealing(sour-smoked-mung) ~sincere(sour-boiled-adzuki)
sour-roasted-butter	guileless	naive	scheming	open-hearted-speech+humility	confiding(umami-roasted-cannellini) familiar(sweet-dried-green) self-deprecating(sour-fried-mung) ~authentic(sour-roasted-fava) ~bashful(sweet-smoked-mung) ~earnest(sour-roasted-black) ~homespun(sweet-fermented-navy) ~humble(umami-smoked-chickpea) ~open(sour-fried-pinto) ~revealing(sour-smoked-mung) ~sincere(sour-boiled-adzuki) ~wholesome(sweet-dried-chickpea)
sour-roasted-cannellini	frank	brutal	coy	plain-speech	straightforward(sweet-dried-edamame) ~blunt(sour-fried-edamame) ~candid(sour-boiled-pinto) ~emphatic(spicy-fried-edamame) ~forthright(sour-roasted-edamame) ~honest(sour-boiled-butter) ~incisive(bitter-fried-navy) ~literal-minded(sour-boiled-navy) ~outspoken(sour-boiled-green) ~pointed(sour-dried-edamame)
sour-roasted-chickpea	open-minded	uncritical	bigoted	smoothing	disarming(sweet-smoked-edamame) forgiving(sweet-boiled-butter) tolerant(umami-roasted-chickpea) ~conciliatory(bitter-boiled-chickpea) ~diplomatic(sweet-fermented-cannellini) ~fair(sour-roasted-kidney) ~fair-minded(sour-boiled-chickpea) ~impartial(sour-boiled-mung) ~receptive(umami-roasted-butter)
sour-roasted-edamame	forthright	abrasive	equivocal	plain-speech	straightforward(sweet-dried-edamame) ~blunt(sour-fried-edamame) ~candid(sour-boiled-pinto) ~emphatic(spicy-fried-edamame) ~frank(sour-roasted-cannellini) ~honest(sour-boiled-butter) ~incisive(bitter-fried-navy) ~literal-minded(sour-boiled-navy) ~outspoken(sour-boiled-green) ~pointed(sour-dried-edamame)
sour-roasted-fava	authentic	unfiltered	posed	open-hearted-speech	confiding(umami-roasted-cannellini) guileless(sour-roasted-butter) ~earnest(sour-roasted-black) ~open(sour-fried-pinto) ~revealing(sour-smoked-mung) ~sincere(sour-boiled-adzuki)
sour-roasted-green	ebullient	manic	subdued	joy	giddy(sweet-fried-green) irrepressible(spicy-fried-adzuki) jubilant(sweet-fried-adzuki) ~buoyant(sweet-roasted-green) ~exultant(spicy-roasted-adzuki) ~high-spirited(spicy-roasted-green) ~joyful(sweet-boiled-adzuki) ~rhapsodic(spicy-fermented-adzuki) ~spirited(spicy-boiled-adzuki)
sour-roasted-kidney	fair	legalistic	unjust	smoothing	disarming(sweet-smoked-edamame) forgiving(sweet-boiled-butter) tolerant(umami-roasted-chickpea) ~conciliatory(bitter-boiled-chickpea) ~diplomatic(sweet-fermented-cannellini) ~fair-minded(sour-boiled-chickpea) ~impartial(sour-boiled-mung) ~open-minded(sour-roasted-chickpea) ~receptive(umami-roasted-butter)
sour-roasted-mung	solicitous	smothering	neglectful	care	considerate(sweet-roasted-edamame) ~compassionate(sweet-boiled-kidney) ~cosseting(sweet-roasted-mung) ~empathetic(sweet-fermented-chickpea) ~gentle(sweet-fermented-mung) ~nurturing(sweet-boiled-mung) ~replenishing(umami-boiled-mung) ~restorative(umami-dried-mung) ~sympathetic(sweet-fermented-kidney) ~tender(sweet-dried-mung)
sour-roasted-navy	indignant	incandescent	inured	opposition	rebellious(umami-fermented-fava) ~challenging(sour-fried-kidney) ~contrarian(sour-fermented-fava) ~defiant(umami-roasted-fava) ~hard-line(bitter-fried-kidney) ~maverick(spicy-fermented-green) ~righteous(sour-boiled-fava) ~shameless(bitter-roasted-fava) ~subversive(spicy-fermented-fava)
sour-roasted-pinto	irreverent	sacrilegious	deferential	wit	witty(bitter-roasted-edamame) ~clever(sour-fermented-chickpea) ~droll(bitter-fried-adzuki) ~epigrammatic(sour-dried-pinto) ~funny(sweet-fried-chickpea) ~quick-witted(sour-fried-adzuki) ~sardonic(sour-fermented-pinto) ~satirical(bitter-fried-pinto) ~wry(sour-dried-chickpea)
sour-smoked-adzuki	knowing	insinuating	unwitting	sees-into	discerning(sour-fermented-cannellini) intuitive(bitter-fermented-mung) prescient(umami-smoked-edamame) shrewd(bitter-fried-chickpea) ~attuned(sour-smoked-chickpea) ~clear-eyed(sour-smoked-fava) ~insightful(umami-roasted-black) ~observant(umami-fermented-edamame) ~penetrating(sour-smoked-black) ~perceptive(sour-fermented-black)
sour-smoked-black	penetrating	invasive	superficial	sees-into	discerning(sour-fermented-cannellini) intuitive(bitter-fermented-mung) prescient(umami-smoked-edamame) shrewd(bitter-fried-chickpea) ~attuned(sour-smoked-chickpea) ~clear-eyed(sour-smoked-fava) ~insightful(umami-roasted-black) ~knowing(sour-smoked-adzuki) ~observant(umami-fermented-edamame) ~perceptive(sour-fermented-black)
sour-smoked-butter	quiet	mute	clamorous	calm+withholding	composed(sour-fried-butter) placid(bitter-boiled-butter) restful(umami-boiled-butter) serene(sweet-dried-butter) terse(bitter-dried-edamame) ~clipped(sour-fried-black) ~cryptic(bitter-dried-pinto) ~hermetic(bitter-smoked-cannellini) ~inscrutable(bitter-smoked-black) ~laconic(bitter-dried-black) ~languid(umami-smoked-butter) ~mellow(umami-dried-butter) ~patient(umami-boiled-black) ~plain(sour-dried-butter) ~reticent(bitter-smoked-edamame) ~settled(umami-fried-butter) ~still(bitter-smoked-butter) ~tranquil(bitter-dried-butter) ~understated(sour-fermented-butter)
sour-smoked-cannellini	admiring	covetous	unimpressed	remorse-gratitude	~ceremonious(bitter-boiled-adzuki) ~contrite(bitter-fermented-cannellini) ~grateful(sour-roasted-adzuki) ~reverential(umami-dried-adzuki)
sour-smoked-chickpea	attuned	hypersensitive	tone-deaf	sees-into	discerning(sour-fermented-cannellini) intuitive(bitter-fermented-mung) prescient(umami-smoked-edamame) shrewd(bitter-fried-chickpea) ~clear-eyed(sour-smoked-fava) ~insightful(umami-roasted-black) ~knowing(sour-smoked-adzuki) ~observant(umami-fermented-edamame) ~penetrating(sour-smoked-black) ~perceptive(sour-fermented-black)
sour-smoked-edamame	surgical	ruthless	heavy-handed	precise	meticulous(sour-fried-cannellini) ~clinical(bitter-dried-mung) ~exacting(bitter-fried-cannellini) ~honed(bitter-dried-green) ~painstaking(spicy-boiled-cannellini) ~particular(sour-fried-navy) ~precise(sour-boiled-cannellini) ~stringent(sour-dried-cannellini)
sour-smoked-fava	clear-eyed	merciless	squeamish	sees-into	discerning(sour-fermented-cannellini) intuitive(bitter-fermented-mung) prescient(umami-smoked-edamame) shrewd(bitter-fried-chickpea) ~attuned(sour-smoked-chickpea) ~insightful(umami-roasted-black) ~knowing(sour-smoked-adzuki) ~observant(umami-fermented-edamame) ~penetrating(sour-smoked-black) ~perceptive(sour-fermented-black)
sour-smoked-green	pungent	acrid	bland	acid	acerbic(sour-dried-fava) fierce(sour-dried-kidney) ~astringent(sour-dried-mung) ~bracing(sour-dried-green) ~flinty(sour-dried-black) ~mordant(spicy-dried-edamame) ~piquant(spicy-dried-mung) ~searing(sour-smoked-kidney) ~tart(sour-dried-adzuki)
sour-smoked-kidney	searing	withering	coddling	acid	acerbic(sour-dried-fava) fierce(sour-dried-kidney) ~astringent(sour-dried-mung) ~bracing(sour-dried-green) ~flinty(sour-dried-black) ~mordant(spicy-dried-edamame) ~piquant(spicy-dried-mung) ~pungent(sour-smoked-green) ~tart(sour-dried-adzuki)
sour-smoked-mung	revealing	exposing	concealing	open-hearted-speech	confiding(umami-roasted-cannellini) guileless(sour-roasted-butter) ~authentic(sour-roasted-fava) ~earnest(sour-roasted-black) ~open(sour-fried-pinto) ~sincere(sour-boiled-adzuki)
sour-smoked-navy	resolute	stubborn	malleable	immovable	rigid(spicy-boiled-navy) single-minded(spicy-fermented-navy) steadfast(spicy-smoked-navy) ~adamant(spicy-boiled-fava) ~firm(sour-dried-navy) ~resolved(umami-boiled-fava) ~stalwart(umami-fried-kidney) ~staunch(spicy-roasted-navy) ~steady(bitter-dried-navy)
sour-smoked-pinto	allusive	riddling	unambiguous	indirect	hazy(sweet-smoked-butter) intricate(bitter-smoked-pinto) layered(umami-dried-pinto) ~cryptic(bitter-dried-pinto) ~interpretive(bitter-fermented-chickpea)
spicy-boiled-adzuki	spirited	rowdy	listless	joy	giddy(sweet-fried-green) irrepressible(spicy-fried-adzuki) jubilant(sweet-fried-adzuki) ~buoyant(sweet-roasted-green) ~ebullient(sour-roasted-green) ~exultant(spicy-roasted-adzuki) ~high-spirited(spicy-roasted-green) ~joyful(sweet-boiled-adzuki) ~rhapsodic(spicy-fermented-adzuki)
spicy-boiled-black	gritty	self-punishing	fragile	endurance	stoic(spicy-boiled-butter) tough(spicy-dried-navy) ~dogged(spicy-boiled-kidney) ~forbearing(bitter-boiled-kidney) ~hardy(bitter-dried-kidney) ~indomitable(sweet-dried-fava) ~relentless(spicy-fried-black) ~steely(bitter-dried-fava) ~tested(sour-fermented-kidney) ~tireless(spicy-boiled-mung)
spicy-boiled-butter	stoic	repressed	whiny	endurance	gritty(spicy-boiled-black) tough(spicy-dried-navy) ~dogged(spicy-boiled-kidney) ~forbearing(bitter-boiled-kidney) ~hardy(bitter-dried-kidney) ~indomitable(sweet-dried-fava) ~relentless(spicy-fried-black) ~steely(bitter-dried-fava) ~tested(sour-fermented-kidney) ~tireless(spicy-boiled-mung)
spicy-boiled-cannellini	painstaking	laborious	perfunctory	precise	meticulous(sour-fried-cannellini) surgical(sour-smoked-edamame) ~clinical(bitter-dried-mung) ~exacting(bitter-fried-cannellini) ~honed(bitter-dried-green) ~particular(sour-fried-navy) ~precise(sour-boiled-cannellini) ~stringent(sour-dried-cannellini)
spicy-boiled-chickpea	resourceful	opportunistic	helpless	adaptable	adaptable(umami-boiled-chickpea) proactive(umami-fried-chickpea) ~conductive(spicy-dried-chickpea) ~cosmopolitan(bitter-roasted-chickpea) ~instinctive(umami-fried-pinto) ~nimble(sour-fried-chickpea) ~practised(sweet-fermented-edamame)
spicy-boiled-edamame	industrious	workaholic	idle	ambition	~accomplished(umami-fried-green) ~ambitious(bitter-fried-fava) ~competitive(spicy-roasted-fava) ~dedicated(umami-boiled-edamame) ~motivated(sweet-fried-edamame) ~purposeful(umami-fried-mung)
spicy-boiled-fava	adamant	intransigent	wavering	immovable	rigid(spicy-boiled-navy) single-minded(spicy-fermented-navy) steadfast(spicy-smoked-navy) ~firm(sour-dried-navy) ~resolute(sour-smoked-navy) ~resolved(umami-boiled-fava) ~stalwart(umami-fried-kidney) ~staunch(spicy-roasted-navy) ~steady(bitter-dried-navy)
spicy-boiled-green	zealous	fanatical	apathetic	heat	intense(spicy-fermented-kidney) ~consuming(spicy-smoked-kidney) ~emotive(spicy-roasted-kidney) ~feisty(spicy-smoked-edamame) ~ferocious(spicy-fried-kidney) ~hot-blooded(spicy-dried-pinto) ~smouldering(spicy-smoked-black) ~wild(spicy-smoked-fava)
spicy-boiled-kidney	dogged	monomaniacal	faltering	endurance	gritty(spicy-boiled-black) stoic(spicy-boiled-butter) tough(spicy-dried-navy) ~forbearing(bitter-boiled-kidney) ~hardy(bitter-dried-kidney) ~indomitable(sweet-dried-fava) ~relentless(spicy-fried-black) ~steely(bitter-dried-fava) ~tested(sour-fermented-kidney) ~tireless(spicy-boiled-mung)
